"001	EAS	George Eastman Hall",
"002	RIA	Frank Ritter Ice Arena",
"003	CLK	George H. Clark Gymnasium",
"003	CPC	Campus Center",
"004	SAU	Student Alumni Union",
"005	WAL	Wallace Library",
"006	LBR	Liberal Arts Hall",
"007A	BOO	James E. Booth Hall",
"007A	SAN	Sands Family Studios",
"007A	VIG	Vignelli Center for Design Studies",
"007A	UNI	University Gallery",
"007B	GAN	Frank E. Gannett Hall",
"008	GOS	Thomas Gosnell Hall",
"009	GLE	James E. Gleason Hall",
"010	ROS	Lewis P. Ross Hall",
"011	SHD	Student Hall for Exploration and Development",
"012	LOW	Max Lowenthal Hall",
"013	ORN	Orange Hall",
"014	HLC	Hugh L. Carey Hall",
"015	MON	Monroe Hall",
"016	SMT	Schmitt Interfaith Center",
"017	ENG	Engineering Hall",
"018	COL	Munsell Color Science Laboratory",
"020	RKA	Riverknoll Apartments",
"022	POL	Gene Polisseni Center",
"023	HAC	Hale-Andrews Student Life Center",
"023	AUG	August Center",
"024	GOR	Gordon Field House & Activities Center",
"025	GWH	Grace Watson Hall",
"027	BHA	Frances Baker Hall A",
"028	RHA	Residence Hall A",
"029	BHB	Frances Baker Hall B",
"030	RHB	Residence Hall B",
"031	CHA	Eugene Colby Hall A",
"031	CHB	Eugene Colby Hall B",
"032	RHC	Residence Hall C",
"033	CHC	Eugene Colby Hall E",
"033	CHD	Eugene Colby Hall D",
"033	CHE	Eugene Colby Hall E",
"035	KGH	Kate Gleason Hall",
"037	CHF	Eugene Colby Hall (F)",
"039	FHA	Helen Fish Hall (A)",
"041	FHB	Helen Fish Hall B",
"041	FHC	Helen Fish Hall C",
"043	DSP	Fredericka Douglass Sprague Perry Hall",
"047	SHH	Sol Heumann Hall",
"049	CGH	Carlton Gibson Hall",
"050A	MEH	Mark Ellingson Hall",
"050B	PTH	Peter Peterson Hall",
"050C	RHD	Residence Hall D",
"053	RSC	Rosica Hall",
"055	CSD	Student Development Center",
"060	LBJ	Lyndon Baines Johnson Hall",
"070	GOL	Golisano Hall",
"070	CYB	Cybersecurity Hall",
"071	MSS	MAGIC Spell Studios",
"073	INS	Institute Hall",
"074	LAC	Laboratory for Applied Computing",
"075	CBT	Center for Bioscience Education & Technology",
"076	CAR	Chester F. Carlson Center for Imaging Science",
"077	BLC	Bausch & Lomb Center",
"078	SLA	Louise Slaughter Hall",
"080	RED	Red Barn",
"081	SUS	Sustainability Institute Hall",
"082	ENT	Engineering Technology Hall",
"083	MPT	Music Performance Theater",
"086	BRN	Brown Hall",
"087	USC	University Services Center",
"087	SIH	Student Innovation Hall",
"089	CRS	Crossroads",
"090	PGA	Perkins Green Apartments",
"093	OBS	Observatory House",
"096	VRB	Vehicle Repair Building",
"099	FMS	Facilities Management Services",
"100	LH	Liberty Hill",
"125	GOB	Gosnell Boathouse",
"150	TPD	125 Tech Park Drive",
"232	LOB	Joseph M. Lobozzo Alumni House",
"300-330	UCS	University Commons Suites",
"400	GVP	Global Village Plaza",
"403	GVC	Global Village Way C",
"404	GVD	Global Village Way D",
"405	GVE	Global Village Way E",
"500	ICC	RIT Inn & Conference Center",
"604	GHA	Greek House A - Zeta Tau Alpha",
"608	GHB	Greek House B - Delta Phi Epsilon",
"612	GHC	Greek House C - Alpha Sigma Alpha",
"616	GHD	Greek House D - Phi Kappa Psi",
"620	GHE	Greek House E - Alpha Xi Delta",
"624	GHF	Greek House F - Pi Kappa Phi",
"800	PPD	100 Park Point Drive",
"820	JEF	175 Jefferson Road",
"905	905	Annex V",
"906	906	Annex VI",
"907	907	Annex VII",
"908	908	Annex VIII",
"909	909	Annex IX",
"995	LEL	Leenhouts Lodge at the Tait Preserve",
"998	FNK	40 Franklin Street",
"WEL	WEL	Welcome Center",
